"Imbalance settlement period (CET/CEST)","+ Imbalance Price [EUR/MWh] - SCA|FR","+ Scarcity [EUR/MWh] - SCA|FR","+ Incentive [EUR/MWh] - SCA|FR","+ Financial Neutrality [EUR/MWh] - SCA|FR","- Imbalance Price [EUR/MWh] - SCA|FR","- Scarcity [EUR/MWh] - SCA|FR","- Incentive [EUR/MWh] - SCA|FR","- Financial Neutrality [EUR/MWh] - SCA|FR","Currency","Status","Total Imbalance [MWh] - SCA|FR","Difference","Situation","Status"
"19.05.2022 13:00 - 19.05.2022 13:30","173.71","","","","191.99","","","","EUR","Estimated","338","","Deficit","Final"
"19.05.2022 13:30 - 19.05.2022 14:00","161.71","","","","178.73","","","","EUR","Estimated","5","","Surplus","Final"
"19.05.2022 14:00 - 19.05.2022 14:30","226.01","","","","249.80","","","","EUR","Estimated","327","","Deficit","Final"
"19.05.2022 14:30 - 19.05.2022 15:00","221.50","","","","244.82","","","","EUR","Estimated","243","","Deficit","Final"
"19.05.2022 15:00 - 19.05.2022 15:30","211.43","","","","233.69","","","","EUR","Estimated","39","","Deficit","Final"
"19.05.2022 15:30 - 19.05.2022 16:00","177.09","","","","195.73","","","","EUR","Estimated","66","","Surplus","Final"
"19.05.2022 16:00 - 19.05.2022 16:30","177.25","","","","195.91","","","","EUR","Estimated","78","","Surplus","Final"
"19.05.2022 16:30 - 19.05.2022 17:00","205.52","","","","227.16","","","","EUR","Estimated","241","","Deficit","Final"
"19.05.2022 17:00 - 19.05.2022 17:30","170.31","","","","188.23","","","","EUR","Estimated","441","","Surplus","Final"
"19.05.2022 17:30 - 19.05.2022 18:00","223.06","","","","246.54","","","","EUR","Estimated","256","","Deficit","Final"
"19.05.2022 18:00 - 19.05.2022 18:30","210.01","","","","232.11","","","","EUR","Estimated","16","","Surplus","Final"
"19.05.2022 18:30 - 19.05.2022 19:00","218.53","","","","241.53","","","","EUR","Estimated","823","","Deficit","Final"
"19.05.2022 19:00 - 19.05.2022 19:30","300.88","","","","332.56","","","","EUR","Estimated","702","","Deficit","Final"
"19.05.2022 19:30 - 19.05.2022 20:00","316.39","","","","349.69","","","","EUR","Estimated","859","","Deficit","Final"
"19.05.2022 20:00 - 19.05.2022 20:30","340.32","","","","376.14","","","","EUR","Estimated","937","","Deficit","Final"
"19.05.2022 20:30 - 19.05.2022 21:00","368.52","","","","407.32","","","","EUR","Estimated","292","","Deficit","Final"
"19.05.2022 21:00 - 19.05.2022 21:30","303.82","","","","335.80","","","","EUR","Estimated","257","","Deficit","Final"
"19.05.2022 21:30 - 19.05.2022 22:00","240.35","","","","265.65","","","","EUR","Estimated","139","","Surplus","Final"
"19.05.2022 22:00 - 19.05.2022 22:30","217.27","","","","240.14","","","","EUR","Estimated","231","","Surplus","Final"
"19.05.2022 22:30 - 19.05.2022 23:00","201.86","","","","223.10","","","","EUR","Estimated","145","","Surplus","Final"
"19.05.2022 23:00 - 19.05.2022 23:30","204.16","","","","225.65","","","","EUR","Estimated","76","","Surplus","Final"
"19.05.2022 23:30 - 20.05.2022 00:00","202.54","","","","223.86","","","","EUR","Estimated","353","","Surplus","Final"
"20.05.2022 00:00 - 20.05.2022 00:30","207.58","","","","229.44","","","","EUR","Estimated","498","","Deficit","Final"
"20.05.2022 00:30 - 20.05.2022 01:00","200.55","","","","221.66","","","","EUR","Estimated","538","","Surplus","Final"
"20.05.2022 01:00 - 20.05.2022 01:30","186.18","","","","205.78","","","","EUR","Estimated","102","","Surplus","Final"
"20.05.2022 01:30 - 20.05.2022 02:00","186.18","","","","205.78","","","","EUR","Estimated","232","","Surplus","Final"
"20.05.2022 02:00 - 20.05.2022 02:30","180.08","","","","199.04","","","","EUR","Estimated","126","","Deficit","Final"
"20.05.2022 02:30 - 20.05.2022 03:00","166.03","","","","183.51","","","","EUR","Estimated","108","","Surplus","Final"
"20.05.2022 03:00 - 20.05.2022 03:30","148.23","","","","163.83","","","","EUR","Estimated","86","","Surplus","Final"
"20.05.2022 03:30 - 20.05.2022 04:00","148.87","","","","164.55","","","","EUR","Estimated","222","","Surplus","Final"
"20.05.2022 04:00 - 20.05.2022 04:30","158.93","","","","175.65","","","","EUR","Estimated","104","","Surplus","Final"
"20.05.2022 04:30 - 20.05.2022 05:00","180.08","","","","199.04","","","","EUR","Estimated","15","","Deficit","Final"
"20.05.2022 05:00 - 20.05.2022 05:30","146.98","","","","162.46","","","","EUR","Estimated","409","","Surplus","Final"
"20.05.2022 05:30 - 20.05.2022 06:00","140.93","","","","155.77","","","","EUR","Estimated","44","","Surplus","Final"
"20.05.2022 06:00 - 20.05.2022 06:30","174.34","","","","192.70","","","","EUR","Estimated","208","","Surplus","Final"
"20.05.2022 06:30 - 20.05.2022 07:00","241.23","","","","266.63","","","","EUR","Estimated","118","","Deficit","Final"
"20.05.2022 07:00 - 20.05.2022 07:30","175.46","","","","193.92","","","","EUR","Estimated","319","","Surplus","Final"
"20.05.2022 07:30 - 20.05.2022 08:00","173.14","","","","191.36","","","","EUR","Estimated","65","","Surplus","Final"
"20.05.2022 08:00 - 20.05.2022 08:30","171.56","","","","189.62","","","","EUR","Estimated","19","","Surplus","Final"
"20.05.2022 08:30 - 20.05.2022 09:00","196.27","","","","216.93","","","","EUR","Estimated","34","","Surplus","Final"
"20.05.2022 09:00 - 20.05.2022 09:30","184.30","","","","203.70","","","","EUR","Estimated","73","","Surplus","Final"
"20.05.2022 09:30 - 20.05.2022 10:00","212.80","","","","235.20","","","","EUR","Estimated","417","","Surplus","Final"
"20.05.2022 10:00 - 20.05.2022 10:30","186.73","","","","206.39","","","","EUR","Estimated","42","","Surplus","Final"
"20.05.2022 10:30 - 20.05.2022 11:00","194.72","","","","215.22","","","","EUR","Estimated","246","","Surplus","Final"
"20.05.2022 11:00 - 20.05.2022 11:30","211.76","","","","234.05","","","","EUR","Estimated","129","","Deficit","Final"
"20.05.2022 11:30 - 20.05.2022 12:00","168.27","","","","185.99","","","","EUR","Estimated","121","","Surplus","Final"
"20.05.2022 12:00 - 20.05.2022 12:30","219.02","","","","242.08","","","","EUR","Estimated","317","","Deficit","Final"
"20.05.2022 12:30 - 20.05.2022 13:00","220.74","","","","243.98","","","","EUR","Estimated","463","","Deficit","Final"
"20.05.2022 13:00 - 20.05.2022 13:30","207.49","","","","229.33","","","","EUR","Estimated","371","","Deficit","Final"
"20.05.2022 13:30 - 20.05.2022 14:00","180.57","","","","199.57","","","","EUR","Estimated","4","","Surplus","Final"
"20.05.2022 14:00 - 20.05.2022 14:30","191.55","","","","211.71","","","","EUR","Estimated","946","","Deficit","Final"
"20.05.2022 14:30 - 20.05.2022 15:00","193.87","","","","214.27","","","","EUR","Estimated","706","","Deficit","Final"
"20.05.2022 15:00 - 20.05.2022 15:30","202.05","","","","223.31","","","","EUR","Estimated","948","","Deficit","Final"
"20.05.2022 15:30 - 20.05.2022 16:00","214.22","","","","236.76","","","","EUR","Estimated","736","","Deficit","Final"
"20.05.2022 16:00 - 20.05.2022 16:30","213.47","","","","235.94","","","","EUR","Estimated","7","","Deficit","Final"
"20.05.2022 16:30 - 20.05.2022 17:00","150.97","","","","166.87","","","","EUR","Estimated","70","","Surplus","Final"
"20.05.2022 17:00 - 20.05.2022 17:30","146.24","","","","161.64","","","","EUR","Estimated","301","","Surplus","Final"
"20.05.2022 17:30 - 20.05.2022 18:00","184.26","","","","203.66","","","","EUR","Estimated","45","","Deficit","Final"
"20.05.2022 18:00 - 20.05.2022 18:30","107.66","","","","119.00","","","","EUR","Estimated","205","","Surplus","Final"
"20.05.2022 18:30 - 20.05.2022 19:00","204.17","","","","225.67","","","","EUR","Estimated","77","","Deficit","Final"
"20.05.2022 19:00 - 20.05.2022 19:30","257.52","","","","284.62","","","","EUR","Estimated","138","","Deficit","Final"
"20.05.2022 19:30 - 20.05.2022 20:00","257.86","","","","285.00","","","","EUR","Estimated","208","","Deficit","Final"
"20.05.2022 20:00 - 20.05.2022 20:30","215.53","","","","238.21","","","","EUR","Estimated","483","","Deficit","Final"
"20.05.2022 20:30 - 20.05.2022 21:00","243.36","","","","268.98","","","","EUR","Estimated","416","","Deficit","Final"
"20.05.2022 21:00 - 20.05.2022 21:30","252.64","","","","279.24","","","","EUR","Estimated","895","","Deficit","Final"
"20.05.2022 21:30 - 20.05.2022 22:00","271.98","","","","300.60","","","","EUR","Estimated","935","","Deficit","Final"
"20.05.2022 22:00 - 20.05.2022 22:30","256.20","","","","283.16","","","","EUR","Estimated","917","","Deficit","Final"
"20.05.2022 22:30 - 20.05.2022 23:00","276.80","","","","305.94","","","","EUR","Estimated","780","","Deficit","Final"
"20.05.2022 23:00 - 20.05.2022 23:30","281.17","","","","310.77","","","","EUR","Estimated","463","","Deficit","Final"
"20.05.2022 23:30 - 21.05.2022 00:00","263.58","","","","291.32","","","","EUR","Estimated","130","","Deficit","Final"
"21.05.2022 00:00 - 21.05.2022 00:30","260.46","","","","287.88","","","","EUR","Estimated","284","","Deficit","Final"
"21.05.2022 00:30 - 21.05.2022 01:00","147.39","","","","162.91","","","","EUR","Estimated","991","","Surplus","Final"
"21.05.2022 01:00 - 21.05.2022 01:30","115.15","","","","127.27","","","","EUR","Estimated","411","","Surplus","Final"
"21.05.2022 01:30 - 21.05.2022 02:00","105.71","","","","116.83","","","","EUR","Estimated","478","","Surplus","Final"
"21.05.2022 02:00 - 21.05.2022 02:30","71.67","","","","79.21","","","","EUR","Estimated","164","","Surplus","Final"
"21.05.2022 02:30 - 21.05.2022 03:00","69.90","","","","77.26","","","","EUR","Estimated","300","","Surplus","Final"
"21.05.2022 03:00 - 21.05.2022 03:30","155.13","","","","171.45","","","","EUR","Estimated","3","","Deficit","Final"
"21.05.2022 03:30 - 21.05.2022 04:00","178.04","","","","196.78","","","","EUR","Estimated","107","","Deficit","Final"
"21.05.2022 04:00 - 21.05.2022 04:30","183.41","","","","202.71","","","","EUR","Estimated","69","","Deficit","Final"
"21.05.2022 04:30 - 21.05.2022 05:00","172.33","","","","190.47","","","","EUR","Estimated","167","","Deficit","Final"
"21.05.2022 05:00 - 21.05.2022 05:30","156.69","","","","173.19","","","","EUR","Estimated","168","","Deficit","Final"
"21.05.2022 05:30 - 21.05.2022 06:00","157.83","","","","174.45","","","","EUR","Estimated","122","","Deficit","Final"
"21.05.2022 06:00 - 21.05.2022 06:30","161.68","","","","178.70","","","","EUR","Estimated","146","","Deficit","Final"
"21.05.2022 06:30 - 21.05.2022 07:00","153.03","","","","169.13","","","","EUR","Estimated","160","","Surplus","Final"
"21.05.2022 07:00 - 21.05.2022 07:30","156.61","","","","173.09","","","","EUR","Estimated","215","","Surplus","Final"
"21.05.2022 07:30 - 21.05.2022 08:00","200.86","","","","222.00","","","","EUR","Estimated","22","","Deficit","Final"
"21.05.2022 08:00 - 21.05.2022 08:30","161.58","","","","178.58","","","","EUR","Estimated","25","","Deficit","Final"
"21.05.2022 08:30 - 21.05.2022 09:00","161.81","","","","178.85","","","","EUR","Estimated","292","","Deficit","Final"
"21.05.2022 09:00 - 21.05.2022 09:30","164.32","","","","181.62","","","","EUR","Estimated","303","","Deficit","Final"
"21.05.2022 09:30 - 21.05.2022 10:00","164.32","","","","181.62","","","","EUR","Estimated","174","","Deficit","Final"
"21.05.2022 10:00 - 21.05.2022 10:30","265.00","","","","292.90","","","","EUR","Estimated","189","","Deficit","Final"
"21.05.2022 10:30 - 21.05.2022 11:00","266.00","","","","294.00","","","","EUR","Estimated","81","","Deficit","Final"
"21.05.2022 11:00 - 21.05.2022 11:30","166.15","","","","183.63","","","","EUR","Estimated","27","","Surplus","Final"
"21.05.2022 11:30 - 21.05.2022 12:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"21.05.2022 12:00 - 21.05.2022 12:30","162.04","","","","179.10","","","","EUR","Estimated","61","","Surplus","Final"
"21.05.2022 12:30 - 21.05.2022 13:00","162.04","","","","179.10","","","","EUR","Estimated","229","","Deficit","Final"
"21.05.2022 13:00 - 21.05.2022 13:30","159.08","","","","175.82","","","","EUR","Estimated","17","","Deficit","Final"
"21.05.2022 13:30 - 21.05.2022 14:00","5.44","","","","6.02","","","","EUR","Estimated","133","","Surplus","Final"
"21.05.2022 14:00 - 21.05.2022 14:30","185.37","","","","204.89","","","","EUR","Estimated","590","","Deficit","Final"
"21.05.2022 14:30 - 21.05.2022 15:00","159.04","","","","175.78","","","","EUR","Estimated","222","","Deficit","Final"
"21.05.2022 15:00 - 21.05.2022 15:30","175.96","","","","194.48","","","","EUR","Estimated","388","","Deficit","Final"
"21.05.2022 15:30 - 21.05.2022 16:00","170.10","","","","188.00","","","","EUR","Estimated","402","","Deficit","Final"
"21.05.2022 16:00 - 21.05.2022 16:30","192.84","","","","213.14","","","","EUR","Estimated","237","","Deficit","Final"
"21.05.2022 16:30 - 21.05.2022 17:00","167.09","","","","184.67","","","","EUR","Estimated","405","","Deficit","Final"
"21.05.2022 17:00 - 21.05.2022 17:30","156.60","","","","173.08","","","","EUR","Estimated","287","","Deficit","Final"
"21.05.2022 17:30 - 21.05.2022 18:00","160.37","","","","177.25","","","","EUR","Estimated","698","","Deficit","Final"
"21.05.2022 18:00 - 21.05.2022 18:30","188.79","","","","208.67","","","","EUR","Estimated","869","","Deficit","Final"
"21.05.2022 18:30 - 21.05.2022 19:00","278.65","","","","307.99","","","","EUR","Estimated","908","","Deficit","Final"
"21.05.2022 19:00 - 21.05.2022 19:30","283.30","","","","313.12","","","","EUR","Estimated","584","","Deficit","Final"
"21.05.2022 19:30 - 21.05.2022 20:00","273.95","","","","302.79","","","","EUR","Estimated","358","","Deficit","Final"
"21.05.2022 20:00 - 21.05.2022 20:30","295.31","","","","326.39","","","","EUR","Estimated","123","","Deficit","Final"
"21.05.2022 20:30 - 21.05.2022 21:00","298.50","","","","329.92","","","","EUR","Estimated","4","","Deficit","Final"
"21.05.2022 21:00 - 21.05.2022 21:30","216.70","","","","239.52","","","","EUR","Estimated","42","","Surplus","Final"
"21.05.2022 21:30 - 21.05.2022 22:00","216.70","","","","239.52","","","","EUR","Estimated","272","","Surplus","Final"
"21.05.2022 22:00 - 21.05.2022 22:30","212.66","","","","235.04","","","","EUR","Estimated","190","","Surplus","Final"
"21.05.2022 22:30 - 21.05.2022 23:00","212.66","","","","235.04","","","","EUR","Estimated","77","","Surplus","Final"
"21.05.2022 23:00 - 21.05.2022 23:30","258.18","","","","285.36","","","","EUR","Estimated","88","","Deficit","Final"
"21.05.2022 23:30 - 22.05.2022 00:00","203.47","","","","224.89","","","","EUR","Estimated","319","","Surplus","Final"
"22.05.2022 00:00 - 22.05.2022 00:30","245.12","","","","270.92","","","","EUR","Estimated","500","","Deficit","Final"
"22.05.2022 00:30 - 22.05.2022 01:00","177.25","","","","195.91","","","","EUR","Estimated","197","","Surplus","Final"
"22.05.2022 01:00 - 22.05.2022 01:30","209.00","","","","231.00","","","","EUR","Estimated","123","","Deficit","Final"
"22.05.2022 01:30 - 22.05.2022 02:00","209.00","","","","231.00","","","","EUR","Estimated","58","","Deficit","Final"
"22.05.2022 02:00 - 22.05.2022 02:30","208.09","","","","229.99","","","","EUR","Estimated","310","","Deficit","Final"
"22.05.2022 02:30 - 22.05.2022 03:00","159.60","","","","176.40","","","","EUR","Estimated","188","","Surplus","Final"
"22.05.2022 03:00 - 22.05.2022 03:30","156.47","","","","172.94","","","","EUR","Estimated","82","","Surplus","Final"
"22.05.2022 03:30 - 22.05.2022 04:00","148.67","","","","164.31","","","","EUR","Estimated","404","","Surplus","Final"
"22.05.2022 04:00 - 22.05.2022 04:30","126.07","","","","139.35","","","","EUR","Estimated","393","","Surplus","Final"
"22.05.2022 04:30 - 22.05.2022 05:00","122.79","","","","135.71","","","","EUR","Estimated","353","","Surplus","Final"
"22.05.2022 05:00 - 22.05.2022 05:30","161.47","","","","178.47","","","","EUR","Estimated","1","","Deficit","Final"
"22.05.2022 05:30 - 22.05.2022 06:00","132.32","","","","146.24","","","","EUR","Estimated","29","","Surplus","Final"
"22.05.2022 06:00 - 22.05.2022 06:30","161.14","","","","178.10","","","","EUR","Estimated","251","","Deficit","Final"
"22.05.2022 06:30 - 22.05.2022 07:00","158.61","","","","175.31","","","","EUR","Estimated","153","","Deficit","Final"
"22.05.2022 07:00 - 22.05.2022 07:30","228.95","","","","253.05","","","","EUR","Estimated","326","","Deficit","Final"
"22.05.2022 07:30 - 22.05.2022 08:00","237.03","","","","261.98","","","","EUR","Estimated","76","","Deficit","Final"
"22.05.2022 08:00 - 22.05.2022 08:30","152.00","","","","168.00","","","","EUR","Estimated","161","","Deficit","Final"
"22.05.2022 08:30 - 22.05.2022 09:00","152.00","","","","168.00","","","","EUR","Estimated","102","","Deficit","Final"
"22.05.2022 09:00 - 22.05.2022 09:30","142.46","","","","157.46","","","","EUR","Estimated","23","","Deficit","Final"
"22.05.2022 09:30 - 22.05.2022 10:00","109.16","","","","120.66","","","","EUR","Estimated","196","","Surplus","Final"
"22.05.2022 10:00 - 22.05.2022 10:30","90.34","","","","99.84","","","","EUR","Estimated","172","","Surplus","Final"
"22.05.2022 10:30 - 22.05.2022 11:00","100.10","","","","110.64","","","","EUR","Estimated","249","","Surplus","Final"
"22.05.2022 11:00 - 22.05.2022 11:30","91.77","","","","101.43","","","","EUR","Estimated","178","","Surplus","Final"
"22.05.2022 11:30 - 22.05.2022 12:00","96.02","","","","106.12","","","","EUR","Estimated","250","","Surplus","Final"
"22.05.2022 12:00 - 22.05.2022 12:30","99.80","","","","110.30","","","","EUR","Estimated","71","","Surplus","Final"
"22.05.2022 12:30 - 22.05.2022 13:00","191.03","","","","211.13","","","","EUR","Estimated","436","","Deficit","Final"
"22.05.2022 13:00 - 22.05.2022 13:30","174.55","","","","192.93","","","","EUR","Estimated","294","","Deficit","Final"
"22.05.2022 13:30 - 22.05.2022 14:00","282.90","","","","312.68","","","","EUR","Estimated","17","","Deficit","Final"
"22.05.2022 14:00 - 22.05.2022 14:30","179.50","","","","198.40","","","","EUR","Estimated","253","","Deficit","Final"
"22.05.2022 14:30 - 22.05.2022 15:00","283.70","","","","313.56","","","","EUR","Estimated","138","","Deficit","Final"
"22.05.2022 15:00 - 22.05.2022 15:30","68.93","","","","76.19","","","","EUR","Estimated","141","","Surplus","Final"
"22.05.2022 15:30 - 22.05.2022 16:00","166.78","","","","184.34","","","","EUR","Estimated","153","","Deficit","Final"
"22.05.2022 16:00 - 22.05.2022 16:30","83.70","","","","92.52","","","","EUR","Estimated","310","","Surplus","Final"
"22.05.2022 16:30 - 22.05.2022 17:00","146.78","","","","162.23","","","","EUR","Estimated","247","","Deficit","Final"
"22.05.2022 17:00 - 22.05.2022 17:30","222.23","","","","245.63","","","","EUR","Estimated","147","","Deficit","Final"
"22.05.2022 17:30 - 22.05.2022 18:00","192.27","","","","212.51","","","","EUR","Estimated","376","","Deficit","Final"
"22.05.2022 18:00 - 22.05.2022 18:30","275.13","","","","304.09","","","","EUR","Estimated","242","","Deficit","Final"
"22.05.2022 18:30 - 22.05.2022 19:00","213.74","","","","236.24","","","","EUR","Estimated","260","","Deficit","Final"
"22.05.2022 19:00 - 22.05.2022 19:30","266.79","","","","294.87","","","","EUR","Estimated","226","","Deficit","Final"
"22.05.2022 19:30 - 22.05.2022 20:00","231.04","","","","255.36","","","","EUR","Estimated","257","","Deficit","Final"
"22.05.2022 20:00 - 22.05.2022 20:30","250.15","","","","276.49","","","","EUR","Estimated","146","","Deficit","Final"
"22.05.2022 20:30 - 22.05.2022 21:00","214.27","","","","236.83","","","","EUR","Estimated","135","","Surplus","Final"
"22.05.2022 21:00 - 22.05.2022 21:30","289.01","","","","319.43","","","","EUR","Estimated","13","","Deficit","Final"
"22.05.2022 21:30 - 22.05.2022 22:00","216.51","","","","239.30","","","","EUR","Estimated","280","","Surplus","Final"
"22.05.2022 22:00 - 22.05.2022 22:30","208.91","","","","230.91","","","","EUR","Estimated","323","","Surplus","Final"
"22.05.2022 22:30 - 22.05.2022 23:00","208.91","","","","230.91","","","","EUR","Estimated","140","","Surplus","Final"
"22.05.2022 23:00 - 22.05.2022 23:30","181.68","","","","200.80","","","","EUR","Estimated","442","","Surplus","Final"
"22.05.2022 23:30 - 23.05.2022 00:00","181.68","","","","200.80","","","","EUR","Estimated","458","","Surplus","Final"
"23.05.2022 00:00 - 23.05.2022 00:30","156.64","","","","173.12","","","","EUR","Estimated","143","","Surplus","Final"
"23.05.2022 00:30 - 23.05.2022 01:00","138.77","","","","153.37","","","","EUR","Estimated","1200","","Surplus","Final"
"23.05.2022 01:00 - 23.05.2022 01:30","126.39","","","","139.69","","","","EUR","Estimated","448","","Surplus","Final"
"23.05.2022 01:30 - 23.05.2022 02:00","124.57","","","","137.69","","","","EUR","Estimated","310","","Surplus","Final"
"23.05.2022 02:00 - 23.05.2022 02:30","122.51","","","","135.41","","","","EUR","Estimated","34","","Surplus","Final"
"23.05.2022 02:30 - 23.05.2022 03:00","131.21","","","","145.03","","","","EUR","Estimated","407","","Surplus","Final"
"23.05.2022 03:00 - 23.05.2022 03:30","131.51","","","","145.35","","","","EUR","Estimated","686","","Surplus","Final"
"23.05.2022 03:30 - 23.05.2022 04:00","134.85","","","","149.05","","","","EUR","Estimated","1116","","Surplus","Final"
"23.05.2022 04:00 - 23.05.2022 04:30","123.65","","","","136.67","","","","EUR","Estimated","1050","","Surplus","Final"
"23.05.2022 04:30 - 23.05.2022 05:00","112.55","","","","124.39","","","","EUR","Estimated","300","","Surplus","Final"
"23.05.2022 05:00 - 23.05.2022 05:30","99.79","","","","110.29","","","","EUR","Estimated","123","","Surplus","Final"
"23.05.2022 05:30 - 23.05.2022 06:00","163.91","","","","181.17","","","","EUR","Estimated","13","","Deficit","Final"
"23.05.2022 06:00 - 23.05.2022 06:30","140.81","","","","155.63","","","","EUR","Estimated","214","","Surplus","Final"
"23.05.2022 06:30 - 23.05.2022 07:00","192.57","","","","212.84","","","","EUR","Estimated","11","","Deficit","Final"
"23.05.2022 07:00 - 23.05.2022 07:30","171.43","","","","189.47","","","","EUR","Estimated","213","","Surplus","Final"
"23.05.2022 07:30 - 23.05.2022 08:00","230.50","","","","254.76","","","","EUR","Estimated","750","","Deficit","Final"
"23.05.2022 08:00 - 23.05.2022 08:30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 08:30 - 23.05.2022 09:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 09:00 - 23.05.2022 09:30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 09:30 - 23.05.2022 10:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 10:00 - 23.05.2022 10:30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 10:30 - 23.05.2022 11:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 11:00 - 23.05.2022 11:30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 11:30 - 23.05.2022 12:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 12:00 - 23.05.2022 12:30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 12:30 - 23.05.2022 13:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 13:00 - 23.05.2022 13:30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 13:30 - 23.05.2022 14:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 14:00 - 23.05.2022 14:30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 14:30 - 23.05.2022 15:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 15:00 - 23.05.2022 15:30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 15:30 - 23.05.2022 16:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 16:00 - 23.05.2022 16:30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 16:30 - 23.05.2022 17:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 17:00 - 23.05.2022 17:30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 17:30 - 23.05.2022 18:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 18:00 - 23.05.2022 18:30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 18:30 - 23.05.2022 19:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 19:00 - 23.05.2022 19:30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 19:30 - 23.05.2022 20:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 20:00 - 23.05.2022 20:30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 20:30 - 23.05.2022 21:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 21:00 - 23.05.2022 21:30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 21:30 - 23.05.2022 22:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 22:00 - 23.05.2022 22:30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 22:30 - 23.05.2022 23:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 23:00 - 23.05.2022 23:30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"23.05.2022 23:30 - 24.05.2022 00:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"24.05.2022 00:00 - 24.05.2022 00:30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"24.05.2022 00:30 - 24.05.2022 01:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
